voiceId,cueKey,path,sha256,durationMs,codec,container,sampleRateHz,channels,bitRate,lufsI,loudnessRange,truePeakDbfs,leadingSilenceMs,trailingSilenceMs,decodeStatus,clippingFlag,baselineDurationPercentile,pairedDurationDeltaMs,outlierFlags,notes
"clara","checkup-balance-intro-v21","assets/audio/voice/clara/checkup-balance-intro-v21.mp3","ad53bf6a0e36c2a3f7506f4990ba5ef75b2c96628db45a50d3265d9f19a42794","4087","mp3","mp3","44100","1","128000","-23.4","2.1","-3.2","59","214","ok","false","74.7","-557","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-balance-intro-v21","assets/audio/voice/marcus/checkup-balance-intro-v21.mp3","a201a56394816cd7865ad9de3306e4a3c1627f34feedeb1376d1e7948cda43cc","4644","mp3","mp3","44100","1","128000","-18.2","2.0","-0.9","72","236","ok","false","79.3","557","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-balance-single-leg-v21","assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3","3cbdb9004e6957bf32d5ce78912c3d4e04c40ac800fdd9391eaf6e4f04e4a944","4365","mp3","mp3","44100","1","128000","-22.8","1.0","-5.2","","232","ok","false","76","-47","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-balance-single-leg-v21","assets/audio/voice/marcus/checkup-balance-single-leg-v21.mp3","557055a574d8e645ea2480c648fa7a5b5f5931fab4e9b35c83490bfcd163a0d3","4412","mp3","mp3","44100","1","128000","-18.7","0.9","-1.5","","296","ok","false","79.3","47","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-chair-stand-intro-v21","assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3","756c95a3578d4ba4c191b40c89b6893828694c842ed94b4a09395402c42c2419","4365","mp3","mp3","44100","1","128000","-23.1","0.8","-6.2","","250","ok","false","76","-186","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-chair-stand-intro-v21","assets/audio/voice/marcus/checkup-chair-stand-intro-v21.mp3","4938eb162ef79ba51a02d303183883faabdf0c2643935a300bf08a212f32069c","4551","mp3","mp3","44100","1","128000","-18.1","0.7","-1.8","","217","ok","false","79.3","186","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-chair-stand-setup-v21","assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3","a91387e3639d88347ec811d7822bf6569873cc8bd9c94a622eec87f99cd8bfe8","4830","mp3","mp3","44100","1","128000","-22.2","4.9","-6.4","","220","ok","false","81.3","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-chair-stand-setup-v21","assets/audio/voice/marcus/checkup-chair-stand-setup-v21.mp3","3b802577cb5552742ed621abff14d1655be146f969588338d176da342b2c02ab","4923","mp3","mp3","44100","1","128000","-18.5","3.2","-1.0","52","144","ok","false","81.3","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-complete-v21","assets/audio/voice/clara/checkup-complete-v21.mp3","bdc357e2084139df6d329e47ed6f5f7689e0e8cd4edfec184c753da182c4f9a7","2276","mp3","mp3","44100","1","128000","-21.0","0.0","-4.6","","217","ok","false","44","-185","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-complete-v21","assets/audio/voice/marcus/checkup-complete-v21.mp3","4de7da4dd772f85bc5bc627bb6b04c819025ce98312c8d98af59a7c11600a837","2461","mp3","mp3","44100","1","128000","-18.6","0.0","-1.6","54","275","ok","false","50","185","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-hinge-setup-v21","assets/audio/voice/clara/checkup-hinge-setup-v21.mp3","4b990638a6ebed8e18589fc9f383c088e36b95abab7d260275b5930bd2d8c16a","5248","mp3","mp3","44100","1","128000","-24.4","2.8","-3.1","","224","ok","false","82","372","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-hinge-setup-v21","assets/audio/voice/marcus/checkup-hinge-setup-v21.mp3","ebf20d9b70ccb70632fbbc6337ad112f192fe84263a6eaa92e085a14b8d27692","4876","mp3","mp3","44100","1","128000","-17.9","4.2","-1.1","","214","ok","false","81.3","-372","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","checkup-shoulder-raise-left-v21","assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3","ffb31b872da861eb1403e1de9a3991aed106e9315b77acb2fd43565e763c46cc","4644","mp3","mp3","44100","1","128000","-21.8","2.6","-3.8","","273","ok","false","78.7","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","checkup-shoulder-raise-left-v21","assets/audio/voice/marcus/checkup-shoulder-raise-left-v21.mp3","5b05b23888323fee15355f2f50493eecef26f5f93c4761701321dce2cd9dcfef","4737","mp3","mp3","44100","1","128000","-17.6","3.1","-1.6","","312","ok","false","80.7","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
