physicalCueKey,voiceId,path,exists,sha256,durationMs,manifestRegistered,verifyAudioCovered,generationMetadataPresent,fingerprintStatus,referencedByLogicalCueKeys,legacyReachability,v21Reachability,classification,notes
rep-credit,sfx,assets/audio/sfx/rep-credit.wav,true,1d35f4f51fa625be1dd9362e237f61cca1b2e7f1e702bd7a36efc04135bfff94,160,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,sfx_asset,Non-voice session sound.
balance-feet-together,clara,assets/audio/voice/clara/balance-feet-together.mp3,true,ef625d83ef99af9764f59cd4a8409a39aa3514234703732c889bf483d3558abf,2368,true,false,false,baseline_audio_without_required_fingerprint_gate,checkup-balance-feet-together-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
balance-intro,clara,assets/audio/voice/clara/balance-intro.mp3,true,c9b87c7a2c690efafdcd581247c3cf1cb299136c7ad65a52bbebe0457724dcc3,9660,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
balance-semi-tandem,clara,assets/audio/voice/clara/balance-semi-tandem.mp3,true,e8f952e2a3e1fadfa407699bc6844eadb93182061d8728330957cfeee898463c,4551,true,false,false,baseline_audio_without_required_fingerprint_gate,checkup-balance-semi-tandem-left-v21;checkup-balance-semi-tandem-right-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
balance-setup,clara,assets/audio/voice/clara/balance-setup.mp3,true,e1c9e71acba2fa89a613013630e35a772e2afb25a4cab032c8c7bf128b85ba6a,7338,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
balance-single-leg,clara,assets/audio/voice/clara/balance-single-leg.mp3,true,9ba13a7675048087f9b5e1c4969aa9db4922b1488d82035d6e8c35dc3be4e748,3901,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
balance-tandem,clara,assets/audio/voice/clara/balance-tandem.mp3,true,5973ed9f2e15a91fefe37c7a6e9b12cbe7808de87e450f8f807c1d1c75f44c83,3390,true,false,false,baseline_audio_without_required_fingerprint_gate,checkup-balance-tandem-left-v21;checkup-balance-tandem-right-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
balance_no_eyes_closed_or_unstable_surface,clara,assets/audio/voice/clara/balance_no_eyes_closed_or_unstable_surface.mp3,true,4d1aeac66b272f327115e889ad58717e220ff98cd1c74121d4635c490cc79c17,4505,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
balance_stop_if_unsteady,clara,assets/audio/voice/clara/balance_stop_if_unsteady.mp3,true,69b56666c5c8cbb4797ed658703212781fb1c6cddab42ba881e1f9b2347c8c9b,2833,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
balance_support_within_reach,clara,assets/audio/voice/clara/balance_support_within_reach.mp3,true,960038b9920717181043cc64acb8678731de400833aa38109789a7bc345424fc,4226,true,true,true,verified_by_verify_audio,equip-balance-support-v21,legacy_safety_or_setup,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
balance_supported_if_hesitant,clara,assets/audio/voice/clara/balance_supported_if_hesitant.mp3,true,92e31ae7bd0e90f64d9fa24ed6dc6038d5438a634b90e187f8dbae8d50425f85,2276,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_anchor_feet_secure,clara,assets/audio/voice/clara/band_anchor_feet_secure.mp3,true,2bbb258cdf096f92fb6ded59af2c693462d033f866c2ae71a6905697fc281fbc,4598,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_controlled_return,clara,assets/audio/voice/clara/band_controlled_return.mp3,true,2eb0402b064c0690661484f6d585606283af8948abdba64daf9319376e71ff18,2368,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_do_not_overstretch,clara,assets/audio/voice/clara/band_do_not_overstretch.mp3,true,d42d142e8f44126ced588982277bbba88e843b13416c54381aecd41d04d4d573,3529,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_face_and_eyes_clear,clara,assets/audio/voice/clara/band_face_and_eyes_clear.mp3,true,7fe226f7367431ce7461c6d7a431551e57debdde112402482eb82f5288408546,2926,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_inspect_before_use,clara,assets/audio/voice/clara/band_inspect_before_use.mp3,true,39b4f0a495aecca591ed76575a6e81e4efc8557ce73a52d4badbd240a2fc3815,5108,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_never_release_under_tension,clara,assets/audio/voice/clara/band_never_release_under_tension.mp3,true,6c1549b8f49ffe27fa2388cccd3b39ca94a053e45df593ffcf625005fedf6cd5,1950,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_secure_grip,clara,assets/audio/voice/clara/band_secure_grip.mp3,true,90f7b0734a6809610bb4fd33028f26a4e3edbd1299ccf93b5ffada4260e7b26e,3111,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_stable_stance,clara,assets/audio/voice/clara/band_stable_stance.mp3,true,a5e05f4682e50f924ea9053967ca96c3d65b1ed8fbfa03040297326f43916fcf,3251,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
band_stop_if_slips_or_shifts,clara,assets/audio/voice/clara/band_stop_if_slips_or_shifts.mp3,true,d9edcf831beb7631afd8d1e5e0e8e1537683a70ad326ef2eaff2a4f5f026b48e,5294,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
center-yourself,clara,assets/audio/voice/clara/center-yourself.mp3,true,e5e05d47f0a4afef76154cfabc3e1a00326ca25479036f3c5dcd832846f8732b,2090,true,false,false,baseline_audio_without_required_fingerprint_gate,setup-center-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
