scenarioId,flow,variant,voiceId,gapMs,cueKeys,durationSource,measuredDurationMs,estimatedDurationMs,totalMs,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
mpv2_initial_chair,movement_checkup,chair,clara,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,16104,16000,26000,false,true,All cues measured from disk after generation.
mpv2_initial_chair,movement_checkup,chair,clara,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,15804,16000,26000,true,true,All cues measured from disk after generation.
mpv2_initial_chair,movement_checkup,chair,marcus,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15686,16000,26000,true,true,All cues measured from disk after generation.
mpv2_initial_chair,movement_checkup,chair,clara,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,15604,16000,26000,true,true,All cues measured from disk after generation.
mpv2_initial_chair,movement_checkup,chair,marcus,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15386,16000,26000,true,true,All cues measured from disk after generation.
mpv2_initial_chair,movement_checkup,chair,marcus,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,15186,16000,26000,true,true,All cues measured from disk after generation.
micro_chair_setup_countdown,micro_check,chair_power,marcus,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11377,0,12627,12000,20000,false,true,All cues measured from disk after generation.
training_first_use_ordinary,training,first_use,clara,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11099,0,12599,14000,24000,true,true,All cues measured from disk after generation.
training_repeat_instructions,training,repeat_instructions,clara,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11099,0,12599,14000,24000,true,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,clara,250,training-intro-v21;safe-session-start-v21,measured_current_mp3,12260,0,12510,12000,20000,false,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,marcus,250,training-intro-v21;safe-session-start-v21,measured_current_mp3,12167,0,12417,12000,20000,false,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,clara,100,training-intro-v21;safe-session-start-v21,measured_current_mp3,12260,0,12360,12000,20000,false,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,marcus,100,training-intro-v21;safe-session-start-v21,measured_current_mp3,12167,0,12267,12000,20000,false,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,clara,0,training-intro-v21;safe-session-start-v21,measured_current_mp3,12260,0,12260,12000,20000,false,true,All cues measured from disk after generation.
training_intro_universal,training,session_start,marcus,0,training-intro-v21;safe-session-start-v21,measured_current_mp3,12167,0,12167,12000,20000,false,true,All cues measured from disk after generation.
micro_chair_setup_countdown,micro_check,chair_power,marcus,100,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11377,0,11877,12000,20000,true,true,All cues measured from disk after generation.
micro_chair_setup_countdown,micro_check,chair_power,clara,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10542,0,11792,12000,20000,true,true,All cues measured from disk after generation.
training_first_use_ordinary,training,first_use,marcus,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10216,0,11716,14000,24000,true,true,All cues measured from disk after generation.
training_repeat_instructions,training,repeat_instructions,marcus,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,10216,0,11716,14000,24000,true,true,All cues measured from disk after generation.
